# U-Turn Demonstration
# Street Width: 6.5m
# Total Steps: 284
# Success: Yes
# Date: 2025-03-23 21:30:20

# Initial State: 5.400000, 2.450000, 1.570796

# step, x, y, gamma, action
0, 5.400000, 2.450000, 1.570796, 66
1, 5.400000, 2.505556, 1.570796, 68
2, 5.400000, 2.561111, 1.570796, 68
3, 5.400000, 2.616667, 1.570796, 68
4, 5.400000, 2.672222, 1.570796, 68
5, 5.400000, 2.727778, 1.570796, 68
6, 5.400000, 2.783333, 1.570796, 68
7, 5.400000, 2.838889, 1.570796, 68
8, 5.400000, 2.894444, 1.588157, 131
9, 5.399036, 2.949992, 1.588157, 68
10, 5.398071, 3.005539, 1.588157, 68
11, 5.397107, 3.061086, 1.588157, 68
12, 5.396142, 3.116633, 1.588157, 68
13, 5.395178, 3.172180, 1.588157, 68
14, 5.394213, 3.227728, 1.588157, 68
15, 5.393249, 3.283275, 1.588157, 68
16, 5.392284, 3.338822, 1.588157, 68
17, 5.391320, 3.394369, 1.588157, 68
18, 5.390355, 3.449916, 1.588157, 68
19, 5.389391, 3.505463, 1.588157, 68
20, 5.388427, 3.561011, 1.588157, 68
21, 5.387462, 3.616558, 1.588157, 68
22, 5.386498, 3.672105, 1.588157, 68
23, 5.385533, 3.727652, 1.588157, 68
24, 5.384569, 3.783199, 1.588157, 68
25, 5.383604, 3.838747, 1.588157, 68
26, 5.382640, 3.894294, 1.588157, 68
27, 5.381675, 3.949841, 1.588157, 68
28, 5.380711, 4.005388, 1.588157, 68
29, 5.379746, 4.060935, 1.588157, 68
30, 5.378782, 4.116482, 1.605519, 131
31, 5.376853, 4.172005, 1.605519, 68
32, 5.374925, 4.227527, 1.605519, 68
33, 5.372996, 4.283049, 1.605519, 68
34, 5.371067, 4.338571, 1.605519, 68
35, 5.369139, 4.394093, 1.605519, 68
36, 5.367210, 4.449615, 1.605519, 68
37, 5.365282, 4.505137, 1.605519, 68
38, 5.363353, 4.560659, 1.605519, 68
39, 5.361424, 4.616181, 1.605519, 68
40, 5.359496, 4.671703, 1.622880, 131
41, 5.356603, 4.727183, 1.622880, 68
42, 5.353711, 4.782664, 1.622880, 68
43, 5.350819, 4.838144, 1.622880, 68
44, 5.347927, 4.893624, 1.622880, 68
45, 5.345035, 4.949104, 1.622880, 68
46, 5.342142, 5.004584, 1.622880, 68
47, 5.339250, 5.060065, 1.622880, 68
48, 5.336358, 5.115545, 1.622880, 68
49, 5.333466, 5.171025, 1.640241, 131
50, 5.329611, 5.226447, 1.640241, 68
51, 5.325756, 5.281868, 1.640241, 68
52, 5.321901, 5.337290, 1.640241, 68
53, 5.318046, 5.392712, 1.640241, 68
54, 5.314191, 5.448133, 1.640241, 68
55, 5.310336, 5.503555, 1.640241, 68
56, 5.306481, 5.558977, 1.640241, 68
57, 5.302626, 5.614398, 1.640241, 68
58, 5.298771, 5.669820, 1.640241, 68
59, 5.294917, 5.725242, 1.640241, 68
60, 5.291062, 5.780663, 1.640241, 68
61, 5.287207, 5.836085, 1.640241, 68
62, 5.283352, 5.891507, 1.640241, 68
63, 5.279497, 5.946928, 1.640241, 68
64, 5.275642, 6.002350, 1.640241, 68
65, 5.271787, 6.057772, 1.640241, 68
66, 5.267932, 6.113193, 1.657602, 131
67, 5.263116, 6.168540, 1.674963, 131
68, 5.257339, 6.223794, 1.674963, 68
69, 5.251562, 6.279048, 1.674963, 68
70, 5.245786, 6.334303, 1.674963, 68
71, 5.240009, 6.389557, 1.674963, 68
72, 5.234233, 6.444812, 1.674963, 68
73, 5.228456, 6.500066, 1.674963, 68
74, 5.222680, 6.555321, 1.674963, 68
75, 5.216903, 6.610575, 1.674963, 68
76, 5.211126, 6.665829, 1.674963, 68
77, 5.205350, 6.721084, 1.674963, 68
78, 5.199573, 6.776338, 1.674963, 68
79, 5.193797, 6.831593, 1.674963, 68
80, 5.188020, 6.886847, 1.674963, 68
81, 5.182244, 6.942101, 1.674963, 68
82, 5.176467, 6.997356, 1.692324, 131
83, 5.169732, 7.052502, 1.692324, 68
84, 5.162997, 7.107648, 1.692324, 68
85, 5.156262, 7.162793, 1.692324, 68
86, 5.149527, 7.217939, 1.692324, 68
87, 5.142792, 7.273085, 1.692324, 68
88, 5.136057, 7.328231, 1.709685, 131
89, 5.128366, 7.383251, 1.709685, 68
90, 5.120675, 7.438272, 1.709685, 68
91, 5.112984, 7.493292, 1.709685, 68
92, 5.105292, 7.548313, 1.709685, 68
93, 5.097601, 7.603334, 1.709685, 68
94, 5.089910, 7.658354, 1.727046, 131
95, 5.081264, 7.713233, 1.727046, 68
96, 5.072619, 7.768112, 1.727046, 68
97, 5.063974, 7.822991, 1.727046, 68
98, 5.055329, 7.877869, 1.727046, 68
99, 5.046683, 7.932748, 1.727046, 68
100, 5.038038, 7.987627, 1.744407, 131
101, 5.028441, 8.042347, 1.744407, 68
102, 5.018845, 8.097068, 1.744407, 68
103, 5.009248, 8.151788, 1.744407, 68
104, 4.999651, 8.206508, 1.744407, 68
105, 4.990055, 8.261229, 1.761769, 131
106, 4.979509, 8.315774, 1.779130, 131
107, 4.968019, 8.370129, 1.779130, 68
108, 4.956528, 8.424483, 1.779130, 68
109, 4.945038, 8.478837, 1.779130, 68
110, 4.933547, 8.533192, 1.779130, 68
111, 4.922057, 8.587546, 1.796491, 131
112, 4.909624, 8.641692, 1.813852, 131
113, 4.896254, 8.695615, 1.813852, 68
114, 4.882883, 8.749538, 1.813852, 68
115, 4.869513, 8.803460, 1.813852, 68
116, 4.856142, 8.857383, 1.813852, 68
117, 4.842772, 8.911306, 1.831213, 131
118, 4.828467, 8.964988, 1.848574, 131
119, 4.813233, 9.018414, 1.848574, 68
120, 4.797998, 9.071840, 1.848574, 68
